Age (years),Gender,University Year,Sleep Duration (hrs),Study Hours (hrs/day),Screen Time (hrs/day),Caffeine Intake (drinks/day),Physical Activity (mins/day),Sleep Quality (1-10),Weekday Sleep Start (24h),Weekend Sleep Start (24h),Weekday Sleep End (24h),Weekend Sleep End (24h)
24,O,2,7.7,7.9,3.4,2,37,10,14.16,4.05,7.41,7.06
21,M,1,6.3,6.0,1.9,5,74,2,8.73,7.1,8.21,10.21
22,M,4,5.1,6.7,3.9,5,53,5,20.0,20.47,6.88,10.92
24,O,4,6.3,8.6,2.8,4,55,9,19.82,4.08,6.69,9.42
20,M,4,4.7,2.7,2.7,0,85,3,20.98,6.12,8.98,9.01
25,O,1,4.9,12.0,3.2,3,96,9,9.8,18.83,5.04,10.51
22,F,2,6.5,11.7,3.4,1,99,6,13.05,20.96,8.58,10.81
22,M,2,6.1,7.8,3.0,1,108,4,10.49,10.85,5.6,10.02
24,F,1,8.6,2.4,1.4,1,86,7,11.06,18.88,8.14,8.78
19,O,2,5.8,8.2,2.0,3,44,8,14.65,5.31,7.47,9.37
20,F,1,6.9,0.9,3.8,5,108,6,7.77,14.83,6.37,9.8
24,F,2,7.2,0.4,1.7,0,33,5,6.07,3.74,8.5,7.78
20,O,3,4.1,3.1,2.1,3,8,6,21.69,10.69,5.05,8.79
20,F,3,7.3,5.6,2.3,1,87,5,17.65,18.35,5.91,10.32
25,F,4,4.9,10.4,2.3,4,7,8,7.02,19.21,7.27,9.62
22,O,3,8.8,8.7,2.8,2,6,1,13.88,10.47,6.41,8.64
21,F,3,4.7,8.9,3.8,3,35,7,8.09,6.76,7.44,9.65
25,O,3,6.1,5.1,1.7,3,17,10,14.71,6.37,5.1,7.47
25,F,1,4.4,4.2,1.4,0,2,10,13.79,16.48,5.47,8.61
20,O,3,9.0,4.5,1.6,0,27,2,18.67,17.92,5.51,10.17
23,O,3,6.5,11.9,3.7,3,69,9,16.58,21.66,5.76,7.88
22,F,4,7.0,0.5,2.9,1,107,1,9.29,8.42,6.84,7.74
19,F,3,4.3,10.4,1.9,2,43,10,12.9,20.47,8.01,10.8
25,F,3,7.7,6.9,3.4,0,20,6,5.74,13.58,8.62,7.84
21,M,2,5.0,5.3,3.6,1,27,9,4.1,9.97,8.34,8.04
23,M,4,8.5,8.7,3.5,4,103,1,10.63,3.26,5.79,10.88
23,M,4,5.0,5.8,3.8,0,53,4,6.08,15.76,6.76,9.94
19,O,4,5.0,10.5,1.8,1,53,4,15.56,17.0,5.8,9.8
25,F,4,4.2,10.8,3.3,1,64,9,13.29,8.92,6.06,10.41
21,O,4,6.4,5.1,2.4,2,99,5,7.03,9.62,7.01,7.46
22,M,4,6.8,3.3,3.5,2,20,5,13.89,15.36,5.27,9.82
18,F,1,4.3,7.1,3.2,4,106,6,9.64,3.44,5.87,9.01
21,O,3,7.9,10.9,3.3,1,98,1,18.11,5.1,8.74,10.32
19,F,4,6.3,2.5,3.0,5,12,1,9.4,17.52,6.86,9.03
23,O,3,6.6,7.5,1.5,1,56,9,3.91,17.22,6.78,9.48
22,F,3,6.2,7.6,2.6,2,48,3,3.76,11.75,5.06,8.91
21,M,1,6.0,8.8,4.0,5,117,4,6.79,6.53,5.99,8.91
18,M,4,6.8,1.6,3.8,0,53,1,6.34,21.12,8.47,10.07
18,F,2,4.8,8.6,1.1,0,9,9,10.28,8.13,5.66,9.51
20,O,1,4.9,10.9,1.5,3,52,8,9.72,9.04,6.66,9.53
20,M,2,8.3,2.2,1.4,2,43,2,19.19,17.37,5.06,8.8
24,M,3,8.7,2.9,3.2,3,46,8,12.68,8.37,6.91,9.12
19,M,3,5.9,11.7,3.5,5,52,7,12.53,3.2,5.08,9.98
25,F,1,5.4,2.2,1.6,2,73,6,1.87,21.06,8.28,10.3
21,F,1,7.2,10.3,2.5,4,45,1,12.95,15.61,8.3,9.79
